stopID,stopName,lat,lon
13913,"Carl St & Hillway Ave",37.7649299,-122.45651
13914,"Carl St & Stanyan St",37.7655,-122.4525899
13915,"Carl St & Stanyan St",37.7653699,-122.45293
13923,"Cabrillo St & 6th Ave",37.7754499,-122.4639699
13924,"Cabrillo St & 47th Ave",37.7734199,-122.50777
13927,"Cabrillo St & La Playa St",37.7733199,-122.50993
13931,"C. Chavez St & Folsom St",37.7483399,-122.4139799
13935,"Cesar Chavez St & Mission St",37.74823,-122.4183699
13936,"C. Chavez St & South Van Ness Ave",37.74831,-122.4157599
13941,"Chestnut St & Fillmore St",37.8009099,-122.43618
13984,"Church St & 16th St",37.7646199,-122.4287199
13985,"Church St & 16th St",37.7643799,-122.4286099
13987,"Church St & 18th St",37.76147,-122.42842
13994,"Church St & 22nd St",37.75479,-122.42766
13995,"Church St & 24th St",37.7517999,-122.4275
13996,"Church St & 24th St",37.7515899,-122.42735
13997,"Church St & 27th St",37.7469899,-122.4270699
13998,"Church St & 27th St",37.74678,-122.42689
13999,"Church St & 29th St",37.74359,-122.42658
14000,"Church St & 30th St",37.7422199,-122.42646
14002,"Church St & Clipper St",37.74939,-122.42729
14003,"Church St & Clipper St",37.74918,-122.42712
14004,"Church St & Day St",37.7428099,-122.4266499
14006,"Church St & Duboce Ave",37.7693,-122.42909
14015,"Clay St & Drumm St",37.7954199,-122.397
14016,"Clay St & Franklin St",37.7919099,-122.42446
14017,"Clay St & Front St",37.7951,-122.3990199
14018,"Clay St & Grant Ave",37.7942599,-122.40597
14019,"Clay St & Hyde St",37.79276,-122.4178999
14020,"Clay St & Jones St",37.7931699,-122.41462
14021,"Clay St & Kearny St",37.79448,-122.4044099
14022,"Clay St & Larkin St",37.7925299,-122.41959
14023,"Clay St & Leavenworth St",37.79296,-122.4162999
14024,"Clay St & Mason St",37.79365,-122.4108199
14025,"Clay St & Montgomery St",37.7946799,-122.40277
14026,"Clay St & Polk St",37.7923899,-122.42071
14027,"Clay St & Powell St",37.7937899,-122.40977
14028,"Clay St & Sansome St",37.7948199,-122.40112
14029,"Clay St & Stockton St",37.7940799,-122.40756
14030,"Clay St & Taylor St",37.79336,-122.4127399
14031,"Clay St & Van Ness Ave",37.7921099,-122.42291
14039,"Clement St & 2nd Ave",37.78309,-122.4598199
14040,"Clement St & 4th Ave",37.7830899,-122.46257
14041,"Clement St & 4th Ave",37.7829899,-122.46195
14042,"Clement St & 6th Ave",37.783,-122.4647899
14043,"Clement St & 6th Ave",37.7828599,-122.46433
14044,"Clement St & 8th Ave",37.7827999,-122.46616
14045,"Clement St & 10th Ave",37.7827999,-122.469
14046,"Clement St & 10th Ave",37.7826999,-122.46837
14047,"Clement St & 12th Ave",37.7827,-122.4711599
14048,"Clement St & 12th Ave",37.7825799,-122.47097
14073,"Clayton St & Carl St",37.76629,-122.44778
14074,"Clayton St & Carl St",37.7661499,-122.4479399
14078,"Clayton St & Frederick St",37.76694,-122.44792
14081,"Clayton St & Parnassus Ave",37.76541,-122.44761
14082,"Clayton St & Parnassus Ave",37.76523,-122.44776
14083,"Cambon Dr & Castelo St",37.71744,-122.47427
14084,"Cambon Dr & Castelo Ave",37.71726,-122.47443
14086,"Cambon Dr & Font Blvd",37.7160199,-122.4744399
14101,"Columbus Ave & Broadway",37.7981199,-122.4068999
14108,"Columbus Ave & Green St",37.79939,-122.40872
14111,"Columbus Ave & Kearny St",37.7973199,-122.40574
14119,"Columbus Ave & Union St",37.8004999,-122.41036
14120,"Columbus Ave & Union St",37.8003799,-122.41044
14123,"Connecticut St & 17th St",37.7649799,-122.3976599
14124,"Connecticut St & 17th St",37.76475,-122.3977799
14125,"Connecticut St & 18th St",37.76261,-122.39757
14126,"Connecticut St & 18th St",37.76243,-122.39741
14127,"Connecticut St & 19th St",37.7611499,-122.3973299
14207,"Crespi Dr & Varela Ave",37.7200999,-122.47594
14211,"Fulton St & 33rd Ave",37.7722299,-122.49318
14212,"Fulton St & 33rd Ave",37.7721,-122.4928799
14213,"Fulton St & 36th Ave",37.7720799,-122.49634
14215,"Fulton St & 37th Ave",37.77192,-122.4967899
14218,"Fulton St & 40th Ave",37.7717899,-122.49991
14221,"Fulton St & 46th Ave",37.77159,-122.5070399
14222,"Fulton St & 46th Ave",37.7714799,-122.50631
14223,"Fulton St & Arguello Blvd",37.77437,-122.4585099
14224,"Fulton St & Arguello Blvd",37.77428,-122.4579999
14225,"Fulton St & Clayton St",37.77541,-122.4500699
14226,"Fulton St & Clayton St",37.7753699,-122.44929
14227,"Fulton St & Great Hwy",37.7714199,-122.51079
14228,"Fulton St & La Playa St",37.77134,-122.50939
14229,"Fulton St & Masonic Ave",37.7758999,-122.44627
14230,"Fulton St & Masonic Ave",37.7756799,-122.44683
14231,"Fulton St & Park Presidio Blvd",37.77319,-122.4721799
14232,"Fulton St & Park Presidio",37.7730499,-122.47199
14233,"Fulton St & Parker Ave",37.7749999,-122.45324
14234,"Fulton St & Shrader St",37.7749899,-122.45238
14235,"Fulton St & Stanyan St",37.7747599,-122.45452
14236,"Fulton St & Stanyan St",37.7748,-122.4548399
14239,"Golden Gate Ave & Hyde St",37.78166,-122.4150899
14240,"Golden Gate Ave & Jones St",37.7820699,-122.41193
14241,"Golden Gate & Leavenworth St",37.7818299,-122.414
14242,"Golden Gate Ave & Polk St",37.78123,-122.4183299
14243,"Golden Gate Ave & Van Ness Ave",37.7809499,-122.42066
14277,"Geary Blvd & 33rd Ave",37.7797399,-122.49323
14278,"Geary Blvd & 33rd Ave",37.7797999,-122.49344
14334,"Castro St & Market St",37.7621399,-122.43519
14341,"Daly City Bart Station",37.7057599,-122.46927
14342,"14 Dakota St",37.75376,-122.39576
14343,"101 Dakota St",37.75374,-122.39565
14345,"Dakota St & 25th St",37.7526799,-122.3946799
14347,"Davis St & Pine St",37.7926099,-122.39753
14350,"De Haro St & 16th St",37.7660599,-122.40163
14436,"Division St & Bryant St",37.7693399,-122.4107399
14437,"Division St & Rhode Island St",37.76976,-122.4031499
14438,"Division St & Townsend St",37.7698899,-122.4032999
14447,"Duboce Ave & Church St",37.7694699,-122.42941
14448,"Duboce Ave & Church St",37.7694099,-122.4294
14501,"The Embarcadero & Bay St",37.80695,-122.40628
14502,"The Embarcadero & Bay St",37.8066299,-122.4060299
14503,"The Embarcadero & Broadway",37.7995499,-122.3978699
14504,"The Embarcadero & Broadway",37.7988999,-122.3974299
14506,"The Embarcadero & Brannan St",37.7843599,-122.38814
14509,"The Embarcadero & Folsom St",37.7904799,-122.3896899
14510,"Embarcadero Folsom St",37.79075,-122.38984
14513,"The Embarcadero & Ferry Term",37.79511,-122.39386
14515,"The Embarcadero & Greenwich St",37.8032599,-122.4011099
14516,"The Embarcadero & Greenwich St",37.80296,-122.40103
14517,"The Embarcadero & Green St",37.8012599,-122.3993699
14518,"The Embarcadero & Green St",37.80061,-122.39892
14529,"The Embarcadero & Sansome St",37.8050199,-122.4033099
14530,"Pier 39",37.8083499,-122.41029
14532,"The Embarcadero & Washington St",37.7970899,-122.3956699
14534,"The Embarcadero & Washington St",37.7963599,-122.3951799
14544,"Eucalyptus Dr & 19th Ave",37.7311599,-122.47474
14545,"Eucalyptus Dr & 19th Ave",37.7310399,-122.4745399
14546,"Eucalyptus Dr & Junipero Serra",37.73099,-122.47244
14580,"Fell St & Gough St",37.7759699,-122.42302
14624,"Fillmore St & Jackson St",37.7923899,-122.4346099
14635,"Fillmore St & Pine St",37.7880499,-122.4335599
14636,"Fillmore St & Pine St",37.7877199,-122.4336499
14637,"Fillmore St & Sacramento St",37.78993,-122.4341
14638,"Fillmore St & Sacramento St",37.78974,-122.43395
14657,"Folsom St & 3rd St",37.78399,-122.3987499
14658,"Folsom St & 4th St",37.7821499,-122.40086
14659,"Folsom St & 5th St",37.78039,-122.4030999
14660,"Folsom St & 6th St",37.7786299,-122.40532
14661,"Folsom St & 7th St",37.77664,-122.4078499
14662,"Folsom St & 8th St",37.7751199,-122.40977
14663,"Folsom St & 9th St",37.77389,-122.4113199
14664,"Folsom St & 11th St",37.7719899,-122.41373
14665,"Folsom St & 11th St",37.7717399,-122.4143
14666,"Folsom St & 14th St",37.76846,-122.4156699
14667,"Folsom St & 14th St",37.76846,-122.41553
14668,"Folsom St & 16th St",37.76557,-122.41524
14669,"Folsom St & 16th St",37.76523,-122.41542
14671,"Folsom St & 18th St",37.76222,-122.41491
14672,"Folsom St & 18th St",37.7618599,-122.4150899
14675,"Folsom St & 22nd St",37.75595,-122.41433
14676,"Folsom St & 22nd St",37.7554599,-122.4144799
14677,"Folsom St & 24th St",37.7527599,-122.41402
14680,"Folsom St & 25th St",37.751,-122.41405
14681,"Folsom St & 25th St",37.7508299,-122.4138399
14702,"Font Blvd & Arballo Dr",37.7217599,-122.4821499
14704,"Font Blvd & Chumasero Dr",37.71521,-122.47317
14705,"Font Blvd & Cambon Dr",37.7158999,-122.4742899
14706,"Font Blvd & Cambon Dr",37.7158999,-122.4745799
